Verse,Word Count
Numbers 31:33,2
Numbers 31:34,2
Numbers 31:44,2
Numbers 31:45,2
Joshua 21:14,2
Joshua 21:15,2
Job 34:1,2
Luke 20:30,2
John 11:35,2
1 Thessalonians 5:16,2
1 Thessalonians 5:17,2
Genesis 10:17,3
Genesis 10:27,3
Genesis 10:28,3
Genesis 15:20,3
Genesis 25:14,3
Numbers 31:46,3
Joshua 13:18,3
Joshua 15:22,3
Joshua 15:23,3
Joshua 15:24,3
Joshua 15:26,3
Joshua 15:29,3
Joshua 15:30,3
Joshua 15:31,3
Joshua 15:38,3
Joshua 15:39,3
Joshua 15:40,3
Joshua 15:42,3
Joshua 15:43,3
Joshua 15:50,3
Joshua 15:52,3
Joshua 15:56,3
Joshua 18:23,3
Joshua 18:25,3
Joshua 18:26,3
Joshua 18:27,3
Joshua 19:4,3
Joshua 19:19,3
Joshua 19:20,3
Joshua 19:36,3
Joshua 19:42,3
Joshua 19:43,3
Joshua 19:44,3
1 Chronicles 1:1,3
1 Chronicles 1:2,3
1 Chronicles 1:3,3
1 Chronicles 1:15,3
1 Chronicles 1:21,3
1 Chronicles 1:22,3
1 Chronicles 1:24,3
1 Chronicles 1:25,3
1 Chronicles 1:26,3
1 Chronicles 1:52,3
1 Chronicles 1:53,3
1 Chronicles 3:7,3
1 Chronicles 4:29,3
1 Chronicles 4:30,3
1 Chronicles 8:4,3
1 Chronicles 8:14,3
1 Chronicles 8:15,3
1 Chronicles 8:19,3
1 Chronicles 8:20,3
1 Chronicles 8:22,3
1 Chronicles 8:23,3
1 Chronicles 8:24,3
1 Chronicles 8:26,3
1 Chronicles 14:5,3
1 Chronicles 14:6,3
1 Chronicles 24:29,3
2 Chronicles 11:6,3
2 Chronicles 11:8,3
2 Chronicles 11:9,3
Ezra 10:35,3
Ezra 10:36,3
Ezra 10:39,3
Ezra 10:40,3
Ezra 10:41,3
Nehemiah 10:2,3
Nehemiah 10:3,3
Nehemiah 10:4,3
Nehemiah 10:5,3
Nehemiah 10:6,3
Nehemiah 10:7,3
Nehemiah 10:11,3
Nehemiah 10:12,3
Nehemiah 10:15,3
Nehemiah 10:16,3
Nehemiah 10:17,3
Nehemiah 10:18,3
Nehemiah 10:19,3
Nehemiah 10:20,3
Nehemiah 10:21,3
Nehemiah 10:22,3
Nehemiah 10:23,3
Nehemiah 10:24,3
Nehemiah 10:25,3
Nehemiah 10:26,3
Nehemiah 12:2,3
Nehemiah 12:3,3
Nehemiah 12:4,3
Nehemiah 12:5,3
Nehemiah 12:6,3
Nehemiah 12:33,3
Esther 9:8,3
Job 6:1,3
Job 9:1,3
Job 12:1,3
Job 16:1,3
Job 19:1,3
Job 21:1,3
Job 23:1,3
Job 26:1,3
Job 35:1,3
Job 36:1,3
Isaiah 3:19,3
Isaiah 3:21,3
Luke 17:32,3
Genesis 10:16,4
Genesis 23:1,4
Exodus 1:3,4
Exodus 20:13,4
Exodus 20:15,4
Leviticus 11:15,4
Numbers 26:8,4
Numbers 32:35,4
Deuteronomy 5:17,4
Deuteronomy 5:19,4
Joshua 4:15,4
Joshua 15:35,4
Joshua 15:37,4
Joshua 15:53,4
Joshua 15:55,4
Joshua 15:58,4
Joshua 18:22,4
Joshua 19:3,4
Joshua 19:37,4
Joshua 20:1,4
2 Samuel 5:15,4
2 Samuel 5:16,4
1 Kings 17:2,4
1 Kings 17:8,4
1 Chronicles 1:27,4
1 Chronicles 2:14,4
1 Chronicles 2:15,4
1 Chronicles 3:8,4
1 Chronicles 8:5,4
1 Chronicles 8:17,4
1 Chronicles 14:7,4
2 Chronicles 11:7,4
Ezra 10:32,4
Ezra 10:37,4
Ezra 10:42,4
Nehemiah 10:13,4
Nehemiah 10:27,4
Nehemiah 12:34,4
Isaiah 38:4,4
Jeremiah 32:26,4
Acts 15:18,4
Romans 1:31,4
Hebrews 13:1,4
Genesis 15:21,5
Genesis 26:6,5
Genesis 46:23,5
Exodus 1:2,5
Exodus 13:1,5
Exodus 14:1,5
Exodus 20:1,5
Exodus 20:14,5
Exodus 25:1,5
Exodus 30:11,5
Exodus 30:17,5
Exodus 30:22,5
Exodus 31:1,5
Exodus 31:12,5
Leviticus 12:1,5
Leviticus 14:1,5
Leviticus 17:1,5
Leviticus 18:1,5
Leviticus 19:1,5
Leviticus 20:1,5
Leviticus 21:16,5
Leviticus 22:1,5
Leviticus 22:17,5
Leviticus 22:26,5
Leviticus 23:1,5
Leviticus 23:9,5
Leviticus 23:23,5
Leviticus 23:26,5
Leviticus 23:33,5
Leviticus 24:1,5
Leviticus 27:1,5
Numbers 3:5,5
Numbers 5:11,5
Numbers 6:22,5
Numbers 8:1,5
Numbers 9:9,5
Numbers 10:1,5
Numbers 13:1,5
Numbers 15:1,5
Numbers 15:17,5
Numbers 15:37,5
Numbers 16:44,5
Numbers 17:1,5
Numbers 18:25,5
Numbers 25:10,5
Numbers 27:6,5
Numbers 28:1,5
Numbers 31:1,5
Numbers 34:16,5
Deuteronomy 2:17,5
Deuteronomy 3:15,5
Deuteronomy 5:18,5
Deuteronomy 14:14,5
Joshua 15:27,5
Joshua 15:28,5
Joshua 15:34,5
Joshua 19:5,5
1 Kings 6:11,5
1 Kings 9:18,5
1 Chronicles 1:4,5
1 Chronicles 1:16,5
1 Chronicles 1:30,5
1 Chronicles 2:8,5
1 Chronicles 8:2,5
1 Chronicles 8:31,5
1 Chronicles 9:37,5
1 Chronicles 12:26,5
2 Chronicles 17:15,5
Ezra 2:3,5
Ezra 2:4,5
Ezra 2:5,5
Ezra 2:7,5
Ezra 2:8,5
Ezra 2:9,5
Ezra 2:10,5
Ezra 2:11,5
Ezra 2:12,5
Ezra 2:13,5
Ezra 2:14,5
Ezra 2:15,5
Ezra 2:17,5
Ezra 2:18,5
Ezra 2:19,5
Ezra 2:20,5
Ezra 2:21,5
Ezra 2:22,5
Ezra 2:23,5
Ezra 2:27,5
Ezra 2:29,5
Ezra 2:30,5
Ezra 2:32,5
Ezra 2:34,5
Ezra 2:35,5
Ezra 2:37,5
Ezra 2:38,5
Ezra 2:39,5
Ezra 2:64,5
Ezra 2:66,5
Ezra 2:67,5
Nehemiah 7:8,5
Nehemiah 7:9,5
Nehemiah 7:10,5
Nehemiah 7:12,5
Nehemiah 7:13,5
Nehemiah 7:14,5
Nehemiah 7:15,5
Nehemiah 7:16,5
Nehemiah 7:17,5
Nehemiah 7:18,5
Nehemiah 7:19,5
Nehemiah 7:20,5
Nehemiah 7:22,5
Nehemiah 7:23,5
Nehemiah 7:24,5
Nehemiah 7:25,5
Nehemiah 7:27,5
Nehemiah 7:31,5
Nehemiah 7:35,5
Nehemiah 7:36,5
Nehemiah 7:38,5
Nehemiah 7:40,5
Nehemiah 7:41,5
Nehemiah 7:42,5
Nehemiah 7:66,5
Nehemiah 11:32,5
Nehemiah 11:33,5
Nehemiah 11:34,5
Esther 9:9,5
Job 3:2,5
Job 4:1,5
Job 15:1,5
Job 18:1,5
Job 20:1,5
Job 22:1,5
Job 25:1,5
Job 29:1,5
Job 40:1,5
Job 40:3,5
Job 42:1,5
Isaiah 3:22,5
Isaiah 37:15,5
Jeremiah 1:4,5
Jeremiah 7:1,5
Jeremiah 11:1,5
Jeremiah 16:1,5
Jeremiah 18:1,5
Jeremiah 21:3,5
Jeremiah 24:4,5
Jeremiah 30:1,5
Mark 4:14,5
Mark 15:13,5
Luke 20:32,5
Acts 17:33,5
1 Thessalonians 5:19,5
1 Timothy 4:11,5
Hebrews 13:25,5
Genesis 22:22,6
Genesis 23:5,6
